Date,Open,High,Low,End,Amount
2024110800:09:38,14005,14010,14000,14000,116704000
2024110800:09:39,14000,14005,14000,14005,53625145
2024110800:09:40,14005,14010,14000,14000,67956000
2024110800:09:41,14005,14010,14000,14010,30667890
2024110800:09:42,14010,14015,14010,14015,157808900
2024110800:09:43,14010,14015,14010,14015,49977490
2024110800:09:44,14020,14025,14015,14025,116211150
2024110800:09:45,14025,14030,14025,14030,133116640
2024110800:09:46,14030,14030,14020,14020,110113080
2024110800:09:47,14025,14030,14025,14030,63135000
2024110800:09:48,14025,14030,14020,14030,67273850
2024110800:09:49,14030,14035,14025,14035,111648425
2024110800:09:50,14030,14035,14025,14030,93916820
2024110800:09:51,14030,14030,14025,14030,23373980
2024110800:09:52,14030,14030,14015,14015,549780420
2024110800:09:53,14020,14025,14015,14020,113533960
2024110800:09:54,14020,14020,14020,14020,94102240
2024110800:09:55,14020,14025,14020,14025,40027350
2024110800:09:56,14025,14025,14020,14020,125282720
2024110800:09:57,14015,14025,14015,14025,92186325
2024110800:09:58,14020,14025,14020,14020,99289640
2024110800:09:59,14020,14020,14015,14020,139050360
2024110800:10:00,14015,14020,14015,14020,31615100
2024110800:10:01,14025,14025,14020,14020,79661640
2024110800:10:02,14015,14020,14015,14015,158173290
2024110800:10:03,14015,14015,14010,14015,50089610
2024110800:10:04,14015,14020,14010,14015,65506110
2024110800:10:05,14015,14015,14010,14015,56214165
2024110800:10:06,14015,14020,14010,14015,90172510
2024110800:10:07,14015,14015,14010,14015,13510460
2024110800:10:08,14015,14020,14010,14015,22311880
2024110800:10:09,14015,14015,14010,14015,26978875
2024110800:10:10,14010,14015,14010,14015,37181795
2024110800:10:11,14015,14015,14015,14015,8871495
2024110800:10:12,14015,14015,14010,14010,105523320
2024110800:10:13,14010,14020,14010,14020,22866620
2024110800:10:14,14020,14020,14015,14020,1121600
2024110800:10:15,14020,14020,14015,14015,41021905
2024110800:10:16,14020,14020,14020,14020,27955880
2024110800:10:17,14020,14025,14015,14020,65922040
2024110800:10:18,14025,14030,14020,14030,53692810
2024110800:10:19,14030,14035,14025,14035,147774515
2024110800:10:20,14035,14050,14030,14045,261349360
2024110800:10:21,14045,14050,14045,14045,28146180
2024110800:10:22,14050,14050,14040,14045,33595640
2024110800:10:23,14050,14050,14050,14050,22985800
2024110800:10:24,14050,14065,14045,14065,533358865
2024110800:10:25,14065,14065,14060,14060,343148360
2024110800:10:26,14060,14085,14060,14085,759843495
2024110800:10:27,14080,14080,14075,14080,11348480
2024110800:10:28,14080,14085,14080,14080,45408000
2024110800:10:29,14080,14085,14080,14080,21500160
2024110800:10:30,14080,14080,14070,14080,142728960
2024110800:10:31,14080,14085,14080,14080,325656320
2024110800:10:32,14085,14085,14080,14085,30550365
2024110800:10:33,14085,14085,14070,14080,45788160
2024110800:10:34,14075,14080,14075,14080,14122240
2024110800:10:35,14080,14085,14080,14085,137201985
2024110800:10:36,14085,14095,14085,14090,34703670
2024110800:10:37,14090,14090,14075,14080,42310400
2024110800:10:38,14080,14080,14075,14075,82071325
2024110800:10:39,14075,14075,14065,14075,20422825
2024110800:10:40,14075,14080,14070,14070,90062070
2024110800:10:41,14070,14070,14055,14060,275168260
2024110800:10:42,14060,14060,14055,14055,51595905
2024110800:10:43,14060,14060,14055,14055,92748945
2024110800:10:44,14055,14060,14055,14060,111158360
2024110800:10:45,14060,14065,14060,14065,45500275
2024110800:10:46,14065,14065,14060,14065,64277050
2024110800:10:47,14065,14070,14065,14070,41759760
2024110800:10:48,14070,14070,14060,14060,122631320
2024110800:10:49,14060,14070,14060,14065,35007785
2024110800:10:50,14060,14065,14055,14055,45355485
2024110800:10:51,14055,14060,14055,14055,59002890
2024110800:10:52,14055,14060,14055,14060,19908960
2024110800:10:53,14060,14060,14045,14045,71938490
2024110800:10:54,14055,14055,14050,14050,4945600
2024110800:10:55,14055,14060,14055,14055,110219310
2024110800:10:56,14055,14055,14050,14055,25383330
2024110800:10:57,14055,14060,14055,14060,29272920
2024110800:10:58,14060,14060,14055,14055,24497865
2024110800:10:59,14055,14055,14045,14050,78455200
2024110800:11:00,14050,14085,14050,14085,123384600
2024110800:11:01,14085,14085,14080,14080,13207040
2024110800:11:02,14085,14085,14080,14080,51955200
2024110800:11:03,14080,14095,14080,14090,71224950
2024110800:11:04,14085,14095,14085,14095,3326420
2024110800:11:05,14095,14095,14085,14090,54500120
2024110800:11:06,14090,14095,14085,14085,43663500
2024110800:11:07,14090,14095,14090,14095,21325735
2024110800:11:08,14095,14095,14090,14090,27644580
2024110800:11:09,14090,14095,14085,14090,63038660
2024110800:11:10,14095,14095,14090,14090,8256740
2024110800:11:11,14095,14095,14090,14095,51841410
2024110800:11:12,14095,14100,14090,14095,31854700
2024110800:11:13,14090,14095,14090,14095,88699835
2024110800:11:14,14095,14095,14090,14090,91091850
2024110800:11:15,14090,14090,14090,14090,44749840
2024110800:11:16,14090,14090,14080,14085,69424965
2024110800:11:17,14085,14090,14085,14085,43846605
2024110800:11:18,14085,14090,14080,14080,22161920
2024110800:11:19,14090,14090,14085,14085,72847620
2024110800:11:20,14085,14085,14085,14085,1295820
2024110800:11:21,14085,14090,14080,14080,32496640
2024110800:11:22,14080,14090,14080,14090,13455950
2024110800:11:23,14090,14090,14090,14090,15992150
2024110800:11:24,14090,14090,14085,14085,132117300
2024110800:11:25,14085,14090,14085,14090,41227340
2024110800:11:26,14085,14090,14085,14090,14033640
2024110800:11:27,14090,14090,14090,14090,9214860
2024110800:11:28,14090,14090,14085,14090,68266050
2024110800:11:29,14085,14090,14085,14090,17499780
2024110800:11:30,14090,14090,14090,14090,28954950
2024110800:11:31,14090,14095,14090,14090,22417190
2024110800:11:32,14090,14090,14090,14090,24981570
2024110800:11:33,14090,14095,14090,14090,14611330
2024110800:11:34,14090,14095,14090,14095,310090
2024110800:11:35,14090,14090,14085,14085,23564205
2024110800:11:36,14090,14095,14090,14095,8767090
2024110800:11:37,14090,14095,14090,14090,89386960
2024110800:11:38,14090,14095,14090,14090,67786990
2024110800:11:39,14085,14095,14085,14085,30127815
2024110800:11:40,14080,14090,14080,14090,19965530
2024110800:11:41,14085,14085,14085,14085,36353385
2024110800:11:42,14085,14085,14080,14085,10972215
2024110800:11:43,14085,14085,14080,14085,43649415
2024110800:11:44,14085,14085,14080,14085,10479240
2024110800:11:45,14085,14085,14085,14085,7225605
2024110800:11:46,14080,14085,14080,14085,61438770
2024110800:11:47,14085,14085,14085,14085,2239515
2024110800:11:48,14080,14080,14075,14080,8800000
2024110800:11:49,14075,14075,14075,14075,10063625
2024110800:11:50,14075,14080,14075,14075,80776425
2024110800:11:51,14080,14080,14075,14080,8293120
2024110800:11:52,14080,14080,14070,14070,32853450
2024110800:11:53,14070,14075,14070,14075,50458875
2024110800:11:54,14075,14080,14075,14080,1365760
2024110800:11:55,14080,14080,14075,14075,11119250
2024110800:11:56,14075,14080,14075,14080,70808320
2024110800:11:57,14080,14080,14080,14080,50448640
2024110800:11:58,14080,14085,14080,14080,27582720
2024110800:11:59,14080,14085,14075,14075,19930200
2024110800:12:00,14080,14080,14075,14075,703750
2024110800:12:01,14080,14080,14075,14080,17783040
2024110800:12:02,14080,14085,14080,14085,38156265
2024110800:12:03,14080,14085,14080,14085,16493535
2024110800:12:04,14085,14085,14085,14085,2507130
2024110800:12:05,14080,14090,14080,14090,24615230
2024110800:12:06,14090,14090,14085,14090,22684900
2024110800:12:07,14090,14090,14090,14090,1521720
2024110800:12:08,14085,14085,14080,14080,60896000
2024110800:12:09,14085,14085,14080,14080,16783360
2024110800:12:10,14085,14085,14080,14080,40719360
2024110800:12:11,14080,14080,14080,14080,1647360
2024110800:12:12,14085,14090,14080,14090,24333430
2024110800:12:13,14090,14090,14080,14090,13160060
2024110800:12:14,14090,14090,14085,14085,28902420
2024110800:12:15,14085,14085,14080,14080,15741440
2024110800:12:16,14080,14085,14080,14085,492975
2024110800:12:17,14085,14085,14075,14075,125661600
2024110800:12:18,14075,14080,14075,14080,15642880
2024110800:12:19,14080,14080,14075,14080,16529920
2024110800:12:20,14075,14075,14075,14075,14046850
2024110800:12:21,14075,14075,14075,14075,13892025
2024110800:12:22,14075,14075,14070,14070,11706240
2024110800:12:23,14070,14075,14070,14075,19254600
2024110800:12:24,14075,14080,14075,14080,28019200
2024110800:12:25,14075,14080,14075,14075,5320350
2024110800:12:26,14075,14080,14075,14075,18198975
2024110800:12:27,14075,14080,14075,14080,25949440
2024110800:12:28,14075,14080,14075,14080,37269760
2024110800:12:29,14080,14080,14080,14080,10320640
2024110800:12:30,14080,14080,14075,14080,50547200
2024110800:12:31,14075,14080,14075,14075,13610525
2024110800:12:32,14075,14080,14075,14075,49065450
2024110800:12:33,14075,14080,14075,14075,31696900
2024110800:12:34,14080,14080,14075,14075,146675575
2024110800:12:35,14075,14080,14075,14080,12348160
2024110800:12:36,14075,14080,14075,14080,17585920
2024110800:12:37,14080,14090,14080,14090,154327770
2024110800:12:38,14090,14090,14090,14090,6509580
2024110800:12:39,14090,14090,14080,14090,3480230
2024110800:12:40,14090,14090,14085,14090,3071620
2024110800:12:41,14090,14090,14085,14090,4917410
2024110800:12:42,14090,14090,14085,14085,46931220
2024110800:12:43,14090,14090,14085,14085,10056690
2024110800:12:44,14090,14090,14085,14090,61601480
2024110800:12:45,14090,14090,14085,14085,9605970
2024110800:12:46,14085,14090,14085,14085,59945760
2024110800:12:47,14085,14085,14080,14080,74581760
2024110800:12:48,14085,14085,14080,14080,25653760
2024110800:12:49,14080,14080,14075,14080,2013440
2024110800:12:50,14080,14080,14075,14080,1802240
2024110800:12:51,14080,14080,14080,14080,14530560
2024110800:12:52,14080,14085,14080,14085,32508180
2024110800:12:53,14085,14085,14080,14085,14352615
2024110800:12:54,14090,14090,14085,14090,2465750
2024110800:12:55,14090,14090,14090,14090,11976500
2024110800:12:56,14090,14095,14090,14090,66617520
2024110800:12:57,14090,14090,14085,14085,33677235
2024110800:12:58,14085,14085,14080,14085,42071895
2024110800:12:59,14080,14085,14080,14080,380160
2024110800:13:00,14085,14085,14080,14085,30423600
2024110800:13:01,14080,14085,14080,14080,159385600
2024110800:13:02,14080,14080,14080,14080,6744320
2024110800:13:03,14075,14085,14075,14080,22260480
2024110800:13:04,14080,14085,14075,14075,52260475
2024110800:13:05,14080,14080,14075,14075,4152125
2024110800:13:06,14080,14080,14075,14080,74286080
2024110800:13:07,14080,14080,14075,14080,19360000
2024110800:13:08,14075,14080,14075,14075,11457050
2024110800:13:09,14075,14080,14075,14075,18114525
2024110800:13:10,14075,14075,14075,14075,12048200
2024110800:13:11,14075,14075,14070,14075,37735075
2024110800:13:12,14075,14075,14070,14070,2659230
2024110800:13:13,14070,14075,14070,14075,7192325
2024110800:13:14,14075,14075,14070,14075,68868975
2024110800:13:15,14075,14075,14070,14070,8765610
2024110800:13:16,14070,14075,14070,14075,5559625
2024110800:13:17,14070,14070,14070,14070,251065080
2024110800:13:18,14070,14070,14060,14065,54178380
2024110800:13:19,14065,14065,14060,14065,2827065
2024110800:13:20,14065,14070,14065,14065,7834205
2024110800:13:21,14065,14065,14060,14060,1968400
2024110800:13:22,14060,14060,14055,14060,19641820
2024110800:13:23,14060,14060,14060,14060,125569860
2024110800:13:24,14065,14065,14060,14065,3459990
2024110800:13:25,14065,14065,14065,14065,1603410
2024110800:13:26,14065,14070,14060,14070,46402860
2024110800:13:27,14070,14070,14065,14065,8973470
2024110800:13:28,14065,14065,14060,14065,15851255
2024110800:13:29,14065,14065,14065,14065,6202665
2024110800:13:30,14065,14065,14060,14060,8660960
2024110800:13:31,14065,14070,14060,14070,29856540
2024110800:13:32,14070,14070,14065,14070,21513030
2024110800:13:33,14070,14070,14070,14070,24960180
2024110800:13:34,14065,14065,14060,14065,50057335
2024110800:13:35,14065,14065,14060,14065,2798935
2024110800:13:36,14065,14065,14060,14065,71084510
2024110800:13:37,14065,14065,14065,14065,15823125
2024110800:13:38,14065,14070,14060,14070,46318440
2024110800:13:39,14075,14075,14075,14075,4504000
2024110800:13:40,14070,14070,14065,14070,16743300
2024110800:13:41,14070,14070,14070,14070,6964650
2024110800:13:42,14070,14075,14070,14070,20936160
2024110800:13:43,14070,14075,14065,14070,19458810
2024110800:13:44,14075,14075,14070,14070,5895330
2024110800:13:45,14070,14070,14065,14070,87360630
2024110800:13:46,14070,14070,14065,14070,34302660
2024110800:13:47,14070,14080,14070,14080,45830400
2024110800:13:48,14080,14080,14080,14080,108289280
2024110800:13:49,14080,14080,14080,14080,105783040
2024110800:13:50,14080,14080,14075,14075,14342425
2024110800:13:51,14080,14080,14075,14080,208975360
2024110800:13:52,14075,14080,14075,14075,229281750
2024110800:13:53,14075,14075,14075,14075,71557300
2024110800:13:54,14070,14070,14065,14065,36765910
2024110800:13:55,14070,14080,14070,14075,20704325
2024110800:13:56,14075,14080,14075,14080,43267840
2024110800:13:57,14080,14080,14080,14080,15333120
2024110800:13:58,14080,14080,14080,14080,21274880
2024110800:13:59,14080,14080,14080,14080,18275840
2024110800:14:00,14080,14080,14080,14080,226490880
2024110800:14:01,14080,14080,14075,14075,81832050
2024110800:14:02,14080,14085,14080,14085,12591990
2024110800:14:03,14085,14085,14080,14080,8574720
2024110800:14:04,14080,14085,14075,14075,49487700
2024110800:14:05,14085,14085,14075,14080,39381760
2024110800:14:06,14080,14080,14075,14075,164916775
2024110800:14:07,14075,14080,14075,14075,22013300
2024110800:14:08,14075,14080,14070,14075,96610800
2024110800:14:09,14070,14075,14070,14070,122282370
2024110800:14:10,14070,14075,14070,14075,53527225
2024110800:14:11,14075,14075,14070,14070,50286180
2024110800:14:12,14070,14075,14070,14070,78426180
2024110800:14:13,14075,14075,14070,14070,27056610
2024110800:14:14,14075,14075,14070,14075,155345775
2024110800:14:15,14075,14075,14070,14075,22843725
2024110800:14:16,14075,14080,14070,14070,53480070
2024110800:14:17,14075,14075,14070,14070,100516080
2024110800:14:18,14075,14075,14065,14070,37398060
2024110800:14:19,14070,14070,14065,14070,62611500
2024110800:14:20,14070,14075,14065,14065,51632615
2024110800:14:21,14065,14070,14065,14065,66780620
2024110800:14:22,14065,14065,14060,14065,96148340
2024110800:14:23,14070,14070,14065,14065,27820570
2024110800:14:24,14065,14065,14055,14065,90114455
2024110800:14:25,14065,14065,14060,14065,43742150
2024110800:14:26,14065,14070,14060,14065,318952005
2024110800:14:27,14070,14070,14060,14060,50194200
2024110800:14:28,14065,14065,14055,14055,61504680
2024110800:14:29,14050,14050,14045,14050,119003500
2024110800:14:30,14050,14050,14040,14040,127735920
2024110800:14:31,14040,14045,14015,14015,84468405
2024110800:14:32,14015,14020,14015,14015,79983605
2024110800:14:33,14020,14020,14010,14010,174690690
2024110800:14:34,14015,14020,13995,13995,265065300
2024110800:14:35,13995,14000,13995,14000,33404000
2024110800:14:36,14000,14000,13985,13990,75979690
2024110800:14:37,13990,13990,13960,13960,111652080
2024110800:14:38,13960,13970,13960,13970,133203950
2024110800:14:39,13965,13965,13940,13940,154957040
2024110800:14:40,13935,13940,13935,13940,134674340
2024110800:14:41,13940,13940,13925,13930,195228950
2024110800:14:42,13930,13930,13925,13930,133992670
2024110800:14:43,13925,13930,13920,13925,251527275
2024110800:14:44,13925,13935,13925,13925,307282975
2024110800:14:45,13930,13930,13925,13925,200631400
2024110800:14:46,13925,13930,13920,13920,236974080
2024110800:14:47,13925,13925,13905,13905,294702570
2024110800:14:48,13900,13900,13880,13880,245134680
2024110800:14:49,13880,13885,13875,13880,616716160
2024110800:14:50,13880,13880,13865,13865,205215865
2024110800:14:51,13870,13875,13865,13865,174601945
2024110800:14:52,13870,13870,13860,13860,254926980
2024110800:14:53,13860,13865,13860,13865,213271430
2024110800:14:54,13860,13865,13860,13860,311891580
2024110800:14:55,13860,13865,13855,13855,180253550
2024110800:14:56,13855,13860,13855,13855,152377290
2024110800:14:57,13855,13860,13840,13860,151295760
2024110800:14:58,13855,13860,13850,13855,534359640
2024110800:14:59,13855,13855,13850,13850,184800550
2024110800:15:00,13850,13855,13850,13850,155867900
2024110800:15:01,13850,13855,13850,13855,295083790
2024110800:15:02,13850,13850,13835,13840,303165200
2024110800:15:03,13845,13850,13840,13845,253197360
2024110800:15:04,13840,13840,13830,13830,193813620
2024110800:15:05,13835,13835,13815,13815,214546950
2024110800:15:06,13810,13810,13795,13795,352531225
2024110800:15:07,13800,13805,13795,13795,323216850
2024110800:15:08,13800,13800,13795,13800,335836800
2024110800:15:09,13795,13805,13795,13800,347373600
2024110800:15:10,13795,13800,13795,13795,291364195
2024110800:15:11,13800,13805,13795,13800,280374600
2024110800:15:12,13805,13805,13800,13805,330408870
2024110800:15:13,13800,13805,13800,13805,259382145
